epochs	 EmbeddingSimilarity	nll-test
1	-0.011728241	2.7561846
6	-0.013127308	1.068485
11	-0.002823394	1.0485
16	-0.003138701	1.028515
21	-0.002956134	1.00853
26	-0.002656537	0.988545
31	-0.002931895	0.96856
36	-0.002567126	0.948575
41	-0.002507459	0.92859
46	-0.002373861	0.908605
51	-0.002799942	0.88862
56	-0.002425626	0.868635
61	-0.002763377	0.84865
66	-0.002581919	0.828665
71	-0.012651532	0.80868
76	-0.012651279	0.788695
