epochs, EmbeddingSimilarity,nll-test
1,-0.002507459,0.33807668
6,-0.002373861,0.33652246
11,-0.002799942,0.33554924
16,-0.002425626,0.3349224
21,-0.002763377,0.3344812
26,-0.002581919,0.33414772
31,-0.002534501,0.33388492
36,-0.002651171,0.33367172
41,-0.011728241,2.7561846
46,-0.002597452,0.5711799
51,-0.002823394,0.48404673
56,-0.003138701,0.45034358
61,-0.002956134,0.41112527
66,-0.002656537,0.36626244
71,-0.002931895,0.34831807
76,-0.002567126,0.34097186
